club_id,name,logo,competition,country,squad_value,squad_size,avg_age,foreigners_number,stadium,stadium_seats,coach
10004,Paris FC,https://tmssl.akamaized.net/images/wappen/head/10004.png,Ligue 1,France,,27,27.2,14,Stade Jean Bouin,19904,Stéphane Gilli
1003,Leicester City,https://tmssl.akamaized.net/images/wappen/head/1003.png,Premier League,England,,29,25.9,17,King Power Stadium,32259,Steve Cooper
1005,US Lecce,https://tmssl.akamaized.net/images/wappen/head/1005.png,Serie A,Italy,,39,23.8,36,Ettore Giardiniero,31559,Eusebio Di Francesco
1010,Watford FC,https://tmssl.akamaized.net/images/wappen/head/1010.png,Premier League,England,,30,26.3,24,Vicarage Road,21577,
1025,Bologna Football Club 1909,https://tmssl.akamaized.net/images/wappen/head/1025.png,Serie A,Italy,,27,27.4,17,Stadio Renato Dall’Ara,36462,
1031,Luton Town,https://tmssl.akamaized.net/images/wappen/head/1031.png,Premier League,England,,30,26.1,16,Kenilworth Road,11850,
1039,Queens Park Rangers,https://tmssl.akamaized.net/images/wappen/head/1039.png,Premier League,England,,26,25.9,15,Loftus Road Stadium,18360,
1041,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/head/1041.png,Ligue 1,France,,34,24.7,25,Groupama Stadium,59186,Paulo Fonseca
1047,Como 1907,https://tmssl.akamaized.net/images/wappen/head/1047.png,Serie A,Italy,,40,25.6,32,Giuseppe Sinigaglia,12039,Cesc Fàbregas
10484,Kasimpasa,https://tmssl.akamaized.net/images/wappen/head/10484.png,Süper Lig,Türkiye,,37,24.6,15,Recep Tayyip Erdoğan Stadyumu,13797,Shota Arveladze
1049,Valencia CF,https://tmssl.akamaized.net/images/wappen/head/1049.png,LaLiga,Spain,,27,27.7,13,Mestalla,49430,Carlos Corberán
105,SV Darmstadt 98,https://tmssl.akamaized.net/images/wappen/head/105.png,Bundesliga,Germany,,27,25.6,13,Merck-Stadion am Böllenfalltor,17810,
1050,Villarreal CF,https://tmssl.akamaized.net/images/wappen/head/1050.png,LaLiga,Spain,,27,25.3,14,La Cerámica,23500,Marcelino
1053,Aalborg BK,https://tmssl.akamaized.net/images/wappen/head/1053.png,Danish Superliga,Denmark,,26,24.6,14,Aalborg Portland Park,13310,Menno van Dam
1059,Hammarby IF,https://tmssl.akamaized.net/images/wappen/head/1059.png,Allsvenskan,Sweden,,25,24.2,12,3Arena,30000,
1063,Viborg FF,https://tmssl.akamaized.net/images/wappen/head/1063.png,Danish Superliga,Denmark,,26,23.5,10,Energi Viborg Arena,9566,Nickolai Lund
10690,Zorya Lugansk,https://tmssl.akamaized.net/images/wappen/head/10690.png,Ukrainian Premier League,Ukraine,,23,26.3,10,Valeriy Lobanovsky Stadion,16873,Viktor Skrypnyk
1071,Wigan Athletic,https://tmssl.akamaized.net/images/wappen/head/1071.png,Premier League,England,,26,24.0,8,DW Stadium,25133,
1075,SC Braga,https://tmssl.akamaized.net/images/wappen/head/1075.png,Liga Portugal,Portugal,,38,24.9,23,Estádio Municipal de Braga,30286,Carlos Vicens
1082,LOSC Lille,https://tmssl.akamaized.net/images/wappen/head/1082.png,Ligue 1,France,,30,24.4,19,Decathlon Arena-Stade Pierre-Mauroy,50186,Bruno Genesio
1083,FK Rostov,https://tmssl.akamaized.net/images/wappen/head/1083.png,Russian Premier League,Russia,,29,25.3,8,Rostov Arena,45415,
1090,AZ Alkmaar,https://tmssl.akamaized.net/images/wappen/head/1090.png,Eredivisie,Netherlands,,31,24.3,11,AFAS Stadion,19500,Maarten Martens
1091,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,https://tmssl.akamaized.net/images/wappen/head/1091.png,Super League Greece,Greece,,31,28.0,18,Toumba Stadium,28703,
1096,Royal Antwerp FC,https://tmssl.akamaized.net/images/wappen/head/1096.png,Jupiler Pro League,Belgium,,23,22.7,12,Bosuilstadion,21000,Stef Wils
11,Arsenal FC,https://tmssl.akamaized.net/images/wappen/head/11.png,Premier League,England,,29,26.2,19,Emirates Stadium,60704,Mikel Arteta
1100,Sportsklubben Brann,https://tmssl.akamaized.net/images/wappen/head/1100.png,Eliteserien,Norway,,29,25.4,11,Brann Stadion,17500,
110302,Avs Futebol,https://tmssl.akamaized.net/images/wappen/head/110302.png,Liga Portugal,Portugal,,22,28.6,16,Estádio do Clube Desportivo das Aves,6230,José Mota
1108,Deportivo Alavés,https://tmssl.akamaized.net/images/wappen/head/1108.png,LaLiga,Spain,,27,27.0,14,Mendizorroza,19840,Eduardo Coudet
1109,BK Häcken,https://tmssl.akamaized.net/images/wappen/head/1109.png,Allsvenskan,Sweden,,27,26.0,13,Nordic Wellness Arena,6316,
11127,Ural Yekaterinburg,https://tmssl.akamaized.net/images/wappen/head/11127.png,Russian Premier League,Russia,,30,26.5,11,Yekaterinburg Arena,23000,
1123,Norwich City,https://tmssl.akamaized.net/images/wappen/head/1123.png,Premier League,England,,25,26.0,17,Carrow Road,27244,
1124,Fakel Voronezh,https://tmssl.akamaized.net/images/wappen/head/1124.png,Russian Premier League,Russia,,24,27.2,4,Fakel,10052,Igor Cherevchenko
11282,Alanyaspor,https://tmssl.akamaized.net/images/wappen/head/11282.png,Süper Lig,Türkiye,,28,25.9,13,Alanya Oba Stadyumu,9727,João Pereira
1132,Burnley FC,https://tmssl.akamaized.net/images/wappen/head/1132.png,Premier League,England,,30,25.9,24,Turf Moor,21994,Scott Parker
114,Beşiktaş Jimnastik Kulübü,https://tmssl.akamaized.net/images/wappen/head/114.png,Süper Lig,Türkiye,,28,26.2,14,Beşiktaş Park,42684,
1148,Brentford FC,https://tmssl.akamaized.net/images/wappen/head/1148.png,Premier League,England,,34,25.0,25,Gtech Community Stadium,17250,Keith Andrews
1158,FC Lorient,https://tmssl.akamaized.net/images/wappen/head/1158.png,Ligue 1,France,,23,25.6,14,Stade du Moustoir,16787,Olivier Pantaloni
1177,Silkeborg IF,https://tmssl.akamaized.net/images/wappen/head/1177.png,Danish Superliga,Denmark,,24,23.3,6,JYSK Park,10000,Kent Nielsen
1184,KRC Genk,https://tmssl.akamaized.net/images/wappen/head/1184.png,Jupiler Pro League,Belgium,,28,23.9,16,Cegeka Arena,23718,Thorsten Fink
1186,Torpedo Moscow,https://tmssl.akamaized.net/images/wappen/head/1186.png,Russian Premier League,Russia,,28,25.6,6,Luzhniki Stadium,81000,
1191,Falkirk FC,https://tmssl.akamaized.net/images/wappen/head/1191.png,Scottish Premiership,Scotland,,22,26.5,5,The Falkirk Stadium,7937,John McGlynn
12,Associazione Sportiva Roma,https://tmssl.akamaized.net/images/wappen/head/12.png,Serie A,Italy,,27,26.3,19,Olimpico di Roma,70634,
120,Kocaelispor,https://tmssl.akamaized.net/images/wappen/head/120.png,Süper Lig,Türkiye,,28,25.8,13,Turka Araç Muayene Kocaeli Stadyumu,34829,Selçuk İnan
121,FK Dinamo Moskva,https://tmssl.akamaized.net/images/wappen/head/121.png,Russian Premier League,Russia,,30,25.9,13,VTB-Arena,25716,
122,Sportklub Puntigamer Sturm Graz,https://tmssl.akamaized.net/images/wappen/head/122.png,Bundesliga,Austria,,26,24.3,16,Merkur Arena,16364,
12321,Girona FC,https://tmssl.akamaized.net/images/wappen/head/12321.png,LaLiga,Spain,,25,25.2,14,Montilivi,14624,Míchel
1237,Brighton & Hove Albion,https://tmssl.akamaized.net/images/wappen/head/1237.png,Premier League,England,,37,25.0,29,AMEX Stadium,31876,Fabian Hürzeler
124,Rangers FC,https://tmssl.akamaized.net/images/wappen/head/124.png,Scottish Premiership,Scotland,,30,25.5,21,Ibrox Stadium,50987,Russell Martin
1241,Livingston FC,https://tmssl.akamaized.net/images/wappen/head/1241.png,Scottish Premiership,Scotland,,26,28.3,13,Home of the Set Fare Arena,9512,David Martindale
1244,CD Leganés,https://tmssl.akamaized.net/images/wappen/head/1244.png,LaLiga,Spain,,24,27.7,5,Ontime Butarque,14422,Borja Jiménez
126,Caykur Rizespor,https://tmssl.akamaized.net/images/wappen/head/126.png,Süper Lig,Türkiye,,30,25.4,16,Çaykur Didi,14879,İlhan Palut
1269,PEC Zwolle,https://tmssl.akamaized.net/images/wappen/head/1269.png,Eredivisie,Netherlands,,21,25.3,7,MAC³PARK stadion,14000,Mirjam Clifford
127,SC Paderborn 07,https://tmssl.akamaized.net/images/wappen/head/127.png,Bundesliga,Germany,,26,25.7,5,Home Deluxe Arena,15000,
13,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/head/13.png,LaLiga,Spain,,26,27.8,17,Riyadh Air Metropolitano,70460,Diego Simeone
130,Parma Calcio 1913,https://tmssl.akamaized.net/images/wappen/head/130.png,Serie A,Italy,,33,23.8,24,Ennio Tardini,22352,Carlos Cuesta
1304,Heracles Almelo,https://tmssl.akamaized.net/images/wappen/head/1304.png,Eredivisie,Netherlands,,30,25.2,16,Asito Stadion,12242,Bas Sibum
131,FC Barcelona,https://tmssl.akamaized.net/images/wappen/head/131.png,LaLiga,Spain,,28,24.3,10,Spotify Camp Nou,62657,Hansi Flick
132,NAC Breda,https://tmssl.akamaized.net/images/wappen/head/132.png,Eredivisie,Netherlands,,21,26.1,14,Rat Verlegh Stadion,20500,Jo Jansen
1390,Cagliari Calcio,https://tmssl.akamaized.net/images/wappen/head/1390.png,Serie A,Italy,,32,23.7,18,Unipol Domus,16416,Fabio Pisacane
14,Austria Vienna,https://tmssl.akamaized.net/images/wappen/head/14.png,Bundesliga,Austria,,31,24.7,10,Generali Arena,15600,Stephan Helm
141,Galatasaray,https://tmssl.akamaized.net/images/wappen/head/141.png,Süper Lig,Türkiye,,33,25.7,13,Ali Sami Yen Spor Kompleksi RAMS Park,53978,Okan Buruk
142,Real Zaragoza,https://tmssl.akamaized.net/images/wappen/head/142.png,LaLiga,Spain,,23,26.0,6,La Romareda,33608,
1420,Angers SCO,https://tmssl.akamaized.net/images/wappen/head/1420.png,Ligue 1,France,,22,24.5,13,Stade Raymond-Kopa,19350,Alexandre Dujeux
1426,VVV-Venlo,https://tmssl.akamaized.net/images/wappen/head/1426.png,Eredivisie,Netherlands,,28,22.9,7,Covebo Stadion - De Koel,8000,
1429,Cesena FC,https://tmssl.akamaized.net/images/wappen/head/1429.png,Serie A,Italy,,28,26.0,4,Orogel Stadium - Dino Manuzzi,23860,
1434,SC Telstar,https://tmssl.akamaized.net/images/wappen/head/1434.png,Eredivisie,Netherlands,,19,24.9,5,BUKO Stadion,5338,Anthony Correia
1435,Go Ahead Eagles,https://tmssl.akamaized.net/images/wappen/head/1435.png,Eredivisie,Netherlands,,26,25.2,14,De Adelaarshorst,10400,Mike Klein
144,HNK Rijeka,https://tmssl.akamaized.net/images/wappen/head/144.png,Supersport Hnl,Croatia,,34,24.9,18,Stadion Rujevica,8136,Radomir Djalovic
1455,FC Dordrecht,https://tmssl.akamaized.net/images/wappen/head/1455.png,Eredivisie,Netherlands,,29,23.3,12,Matchoholic Stadion,4235,
14589,FC Orenburg,https://tmssl.akamaized.net/images/wappen/head/14589.png,Russian Premier League,Russia,,31,25.3,13,Gazovik,10046,
1465,GD Estoril Praia,https://tmssl.akamaized.net/images/wappen/head/1465.png,Liga Portugal,Portugal,,26,25.5,15,Estádio António Coimbra da Mota,5094,Ian Cathro
1467,Göztepe,https://tmssl.akamaized.net/images/wappen/head/1467.png,Süper Lig,Türkiye,,28,24.2,17,Gürsel Aksel Stadyumu,23376,Stanimir Stoilov
148,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/head/148.png,Premier League,England,,37,25.5,28,Tottenham Hotspur Stadium,62850,Thomas Frank
15,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/head/15.png,Bundesliga,Germany,,36,24.5,27,BayArena,30210,Erik ten Hag
150,Real Betis Balompié,https://tmssl.akamaized.net/images/wappen/head/150.png,LaLiga,Spain,,26,27.5,12,La Cartuja,71374,Manuel Pellegrini
1519,Dundee United FC,https://tmssl.akamaized.net/images/wappen/head/1519.png,Scottish Premiership,Scotland,,20,24.9,17,Tannadice Park,14223,Jim Goodwin
152,Samsunspor,https://tmssl.akamaized.net/images/wappen/head/152.png,Süper Lig,Türkiye,,38,24.0,17,Samsun Yeni 19 Mayıs,34303,Thomas Reis
1531,Elche CF,https://tmssl.akamaized.net/images/wappen/head/1531.png,LaLiga,Spain,,23,25.6,12,Manuel Martínez Valero,31388,Eder Sarabia
1533,SD Eibar,https://tmssl.akamaized.net/images/wappen/head/1533.png,LaLiga,Spain,,26,28.3,5,Ipurua,8164,
157,KAA Gent,https://tmssl.akamaized.net/images/wappen/head/157.png,Jupiler Pro League,Belgium,,33,24.3,18,Planet Group arena,20185,Ivan Leko
159,Red Star Belgrade,https://tmssl.akamaized.net/images/wappen/head/159.png,Super Liga Srbije,Serbia,,37,25.2,22,Rajko Mitić,49167,Vladan Milojevic
16,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/head/16.png,Bundesliga,Germany,,29,24.8,16,SIGNAL IDUNA PARK,81365,Niko Kovac
162,AS Monaco,https://tmssl.akamaized.net/images/wappen/head/162.png,Ligue 1,France,,28,25.4,28,Stade Louis-II,18525,Adi Hütter
167,FC Augsburg,https://tmssl.akamaized.net/images/wappen/head/167.png,Bundesliga,Germany,,30,25.9,17,WWK ARENA,30660,Sandro Wagner
16704,FK Krasnodar,https://tmssl.akamaized.net/images/wappen/head/16704.png,Russian Premier League,Russia,,29,26.4,13,OZON Arena,35179,
16795,Granada CF,https://tmssl.akamaized.net/images/wappen/head/16795.png,LaLiga,Spain,,24,26.1,8,Nuevo Los Cármenes,19336,
170,Rapid Vienna,https://tmssl.akamaized.net/images/wappen/head/170.png,Bundesliga,Austria,,33,24.5,17,Allianz-Stadion,28345,Peter Stöger
172,Royal Charleroi Sporting Club,https://tmssl.akamaized.net/images/wappen/head/172.png,Jupiler Pro League,Belgium,,27,24.8,17,Stade du Pays de Charleroi,14968,
173,Odense Boldklub,https://tmssl.akamaized.net/images/wappen/head/173.png,Danish Superliga,Denmark,,25,24.4,10,Nature Energy Park,15761,Alexander Zorniger
18,Borussia Mönchengladbach,https://tmssl.akamaized.net/images/wappen/head/18.png,Bundesliga,Germany,,29,26.5,17,Stadion im Borussia-Park,54042,Gerardo Seoane
180,Southampton FC,https://tmssl.akamaized.net/images/wappen/head/180.png,Premier League,England,,27,26.6,15,St Mary's Stadium,32384,Russell Martin
18303,FC Oleksandriya,https://tmssl.akamaized.net/images/wappen/head/18303.png,Ukrainian Premier League,Ukraine,,30,25.6,7,KSK Nika,7000,Kyrylo Nesterenko
190,FC Copenhagen,https://tmssl.akamaized.net/images/wappen/head/190.png,Danish Superliga,Denmark,,29,24.8,21,Parken - connected by 3,38065,Jacob Neestrup
195,Rosenborg Ballklub,https://tmssl.akamaized.net/images/wappen/head/195.png,Eliteserien,Norway,,29,24.0,9,Lerkendal Stadion,21510,
19657,Vendsyssel FF,https://tmssl.akamaized.net/images/wappen/head/19657.png,Danish Superliga,Denmark,,24,25.1,7,Nord Energi Arena,10000,
197,AC Sparta Prague,https://tmssl.akamaized.net/images/wappen/head/197.png,Chance Liga,Czech Republic,,33,25.1,20,epet Arena,18243,Brian Priske
200,FC Utrecht,https://tmssl.akamaized.net/images/wappen/head/200.png,Eredivisie,Netherlands,,31,23.8,21,"Stadion ""Galgenwaard""",23750,Ron Jans
202,FC Groningen,https://tmssl.akamaized.net/images/wappen/head/202.png,Eredivisie,Netherlands,,24,23.4,9,Euroborg,22550,Dick Lukkien
2036,1. Fußballclub Heidenheim 1846,https://tmssl.akamaized.net/images/wappen/head/2036.png,Bundesliga,Germany,,29,26.5,7,Voith-Arena,15000,
206,Bröndby IF,https://tmssl.akamaized.net/images/wappen/head/206.png,Danish Superliga,Denmark,,30,25.5,13,Brøndby Stadion,28000,Frederik Birk
2239,US Cremonese,https://tmssl.akamaized.net/images/wappen/head/2239.png,Serie A,Italy,,33,26.0,8,Giovanni Zini,16003,Giovanni Persico
2282,Club Brugge KV,https://tmssl.akamaized.net/images/wappen/head/2282.png,Jupiler Pro League,Belgium,,27,23.5,16,Jan Breydelstadion,29062,Nicky Hayen
2288,Swansea City,https://tmssl.akamaized.net/images/wappen/head/2288.png,Premier League,England,,22,24.8,17,Swansea.com Stadium,21088,
2293,Konyaspor,https://tmssl.akamaized.net/images/wappen/head/2293.png,Süper Lig,Türkiye,,25,26.1,8,Medaş Konya Büyükşehir Stadyumu,41600,Recep Uçar
23,Eintracht Braunschweig,https://tmssl.akamaized.net/images/wappen/head/23.png,Bundesliga,Germany,,30,25.6,11,EINTRACHT-Stadion,23325,
2300,Jagiellonia Bialystok,https://tmssl.akamaized.net/images/wappen/head/2300.png,Pko Bp Ekstraklasa,Poland,,24,24.2,12,Chorten Arena,22372,Adrian Siemieniec
2311,"SK Sigma Olomouc, a.s.",https://tmssl.akamaized.net/images/wappen/head/2311.png,Chance Liga,Czech Republic,,32,25.3,15,Andrův stadion,12451,
232,FK Spartak Moskva,https://tmssl.akamaized.net/images/wappen/head/232.png,Russian Premier League,Russia,,26,27.1,12,Lukoil Arena,44571,
234,Feyenoord Rotterdam,https://tmssl.akamaized.net/images/wappen/head/234.png,Eredivisie,Netherlands,,37,25.3,20,"Stadion Feyenoord ""De Kuip""",47500,Robin van Persie
235,RKC Waalwijk,https://tmssl.akamaized.net/images/wappen/head/235.png,Eredivisie,Netherlands,,31,24.7,9,Mandemakers Stadion,7186,Henk Fraser
237,RCD Mallorca,https://tmssl.akamaized.net/images/wappen/head/237.png,LaLiga,Spain,,24,27.3,9,Mallorca Son Moix,25736,Jagoba Arrasate
238,Lech Poznan,https://tmssl.akamaized.net/images/wappen/head/238.png,Pko Bp Ekstraklasa,Poland,,28,25.3,16,Enea Poznań,42837,Niels Frederiksen
23826,RB Leipzig,https://tmssl.akamaized.net/images/wappen/head/23826.png,Bundesliga,Germany,,33,23.9,22,Red Bull Arena,47069,Ole Werner
239,Viking Fotballklubb,https://tmssl.akamaized.net/images/wappen/head/239.png,Eliteserien,Norway,,25,26.1,7,Lyse Arena,15900,
24,Eintracht Frankfurt,https://tmssl.akamaized.net/images/wappen/head/24.png,Bundesliga,Germany,,32,25.1,21,Deutsche Bank Park,59500,Dino Toppmöller
2410,PFK CSKA Moskva,https://tmssl.akamaized.net/images/wappen/head/2410.png,Russian Premier League,Russia,,28,24.0,11,VEB Arena,30114,
2420,Vitória Guimarães SC,https://tmssl.akamaized.net/images/wappen/head/2420.png,Liga Portugal,Portugal,,27,24.5,16,Estádio D. Afonso Henriques,30029,Luís Pinto
2423,CD Santa Clara,https://tmssl.akamaized.net/images/wappen/head/2423.png,Liga Portugal,Portugal,,35,25.3,23,Estádio de São Miguel,12500,Vasco Matos
2424,Gil Vicente FC,https://tmssl.akamaized.net/images/wappen/head/2424.png,Liga Portugal,Portugal,,27,24.9,20,Estádio Cidade de Barcelos,12046,César Peixoto
2425,Rio Ave FC,https://tmssl.akamaized.net/images/wappen/head/2425.png,Liga Portugal,Portugal,,25,24.5,24,Estádio do Rio Ave FC,5300,Sotiris Sylaidopoulos
2431,CF Estrela Amadora,https://tmssl.akamaized.net/images/wappen/head/2431.png,Liga Portugal,Portugal,,29,24.4,24,Estádio José Gomes,9288,José Faria
244,Olympique Marseille,https://tmssl.akamaized.net/images/wappen/head/244.png,Ligue 1,France,,26,27.9,25,Orange Vélodrome,67394,Roberto De Zerbi
2441,Athlitiki Enosi Konstantinoupoleos,https://tmssl.akamaized.net/images/wappen/head/2441.png,Super League Greece,Greece,,30,28.7,24,Allwyn Arena,32500,
2448,Sporting Gijón,https://tmssl.akamaized.net/images/wappen/head/2448.png,LaLiga,Spain,,28,26.2,10,El Molinón - Enrique Castro Quini,29029,
2451,Inverness Caledonian Thistle FC,https://tmssl.akamaized.net/images/wappen/head/2451.png,Scottish Premiership,Scotland,,26,24.5,9,Tulloch Caledonian Stadium,7750,
2497,Real Oviedo,https://tmssl.akamaized.net/images/wappen/head/2497.png,LaLiga,Spain,,21,26.4,7,Carlos Tartiere,30500,Veljko Paunovic
252,Genoa CFC,https://tmssl.akamaized.net/images/wappen/head/252.png,Serie A,Italy,,31,24.0,20,Luigi Ferraris,34901,Patrick Vieira
2521,FC Alverca,https://tmssl.akamaized.net/images/wappen/head/2521.png,Liga Portugal,Portugal,,23,24.2,19,Complexo Desportivo FC Alverca,6932,Custódio
255,Legia Warszawa,https://tmssl.akamaized.net/images/wappen/head/255.png,Pko Bp Ekstraklasa,Poland,,25,26.4,12,Stadion Miejski im. Marszałka Józefa Piłsudskiego,31103,Edward Iordănescu
2553,Kilmarnock FC,https://tmssl.akamaized.net/images/wappen/head/2553.png,Scottish Premiership,Scotland,,24,26.1,16,"BBSP Stadium, Rugby Park",18128,Stuart Kettlewell
