row_id,player_id,name,photo,position,role,age,nation,height_cm,foot,club,club_id,competition,competition_id,competition_type,country,confederation,market_value_eur,matches,minutes,nineties,goals,assists,goal_contributions,yellow_cards,red_cards,goals_per90,assists_per90,goal_contributions_per90,shots,key_passes,xg,xa,shots_per90,key_passes_per90,xg_per90,xa_per90
tm477758_AFCN,tm477758,Aaron Wan-Bissaka,https://img.a.transfermarkt.technology/portrait/header/477758-1769112496.jpg?lm=1,Defender,Full-back,28,DR Congo,183,right,DR Congo,3854,Africa Cup of Nations,AFCN,International,International,afrika,22000000.0,3,300,3.3,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
tm724520_AFCN,tm724520,Abde Ezzalzouli,https://img.a.transfermarkt.technology/portrait/header/724520-1758782814.jpg?lm=1,Forward,Winger,24,Morocco,177,right,Morocco,3575,Africa Cup of Nations,AFCN,International,International,afrika,20000000.0,7,518,5.8,0,1,1,0,0,0.0,0.174,0.174,,,,,,,,
tm543379_AFCN,tm543379,Abdoulaye Diaby,https://img.a.transfermarkt.technology/portrait/header/543379-1767005471.jpg?lm=1,Defender,Centre-Back,25,Mali,198,right,Mali,3674,Africa Cup of Nations,AFCN,International,International,afrika,,5,480,5.3,0,0,0,1,0,0.0,0.0,0.0,,,,,,,,
tm398073_AFCN,tm398073,Achraf Hakimi,https://img.a.transfermarkt.technology/portrait/header/398073-1672304327.jpg?lm=1,Defender,Full-back,27,Morocco,180,right,Morocco,3575,Africa Cup of Nations,AFCN,International,International,afrika,80000000.0,5,446,5.0,0,1,1,0,0,0.0,0.202,0.202,,,,,,,,
tm286949_AFCN,tm286949,Adam Masina,https://img.a.transfermarkt.technology/portrait/header/286949-1658130450.jpg?lm=1,Defender,Centre-Back,31,Morocco,191,left,Morocco,3575,Africa Cup of Nations,AFCN,International,International,afrika,1400000.0,5,479,5.3,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
tm406040_AFCN,tm406040,Ademola Lookman,https://img.a.transfermarkt.technology/portrait/header/406040-1769763751.jpg?lm=1,Forward,Winger,28,Nigeria,174,right,Nigeria,3444,Africa Cup of Nations,AFCN,International,International,afrika,35000000.0,6,517,5.7,3,4,7,1,0,0.522,0.696,1.219,,,,,,,,
tm607034_AFCN,tm607034,Akor Adams,https://img.a.transfermarkt.technology/portrait/header/607034-1767008026.jpg?lm=1,Forward,Centre-Forward,25,Nigeria,190,right,Nigeria,3444,Africa Cup of Nations,AFCN,International,International,afrika,10000000.0,7,501,5.6,2,2,4,0,0,0.359,0.359,0.719,,,,,,,,
tm357117_AFCN,tm357117,Alban Lafont,https://img.a.transfermarkt.technology/portrait/header/357117-1756042679.png?lm=1,Goalkeeper,Goalkeeper,26,Cote d'Ivoire,196,right,Cote d'Ivoire,3591,Africa Cup of Nations,AFCN,International,International,afrika,3000000.0,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
tm242631_AFCN,tm242631,Alex Iwobi,https://img.a.transfermarkt.technology/portrait/header/242631-1679652866.jpg?lm=1,Forward,Winger,29,Nigeria,183,right,Nigeria,3444,Africa Cup of Nations,AFCN,International,International,afrika,25000000.0,6,505,5.6,0,2,2,0,0,0.0,0.356,0.356,,,,,,,,
tm211474_AFCN,tm211474,Ali Abdi,https://img.a.transfermarkt.technology/portrait/header/211474-1756827001.jpg?lm=1,Defender,Full-back,32,Tunisia,177,left,Tunisia,3670,Africa Cup of Nations,AFCN,International,International,afrika,2500000.0,4,390,4.3,1,1,2,0,0,0.231,0.231,0.462,,,,,,,,
